                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3065,                      1,                      1,                0.32219,             0.00023562,             0.00023562,             0.00023562
                      2,                 0.0254,                      1,                      1,                0.31415,             0.00046424,             0.00046424,             0.00046424
                      3,                0.00953,                      1,                      1,                0.31539,             0.00068344,             0.00068344,             0.00068344
                      4,                 0.0147,                      1,                      1,                0.31489,             0.00067159,             0.00067159,             0.00067159
                      5,                0.00508,                0.99749,                      1,                0.31513,             0.00065745,             0.00065745,             0.00065745
                      6,                0.00173,                      1,                      1,                0.31372,             0.00064331,             0.00064331,             0.00064331
                      7,                0.00261,                      1,                      1,                0.31333,             0.00062918,             0.00062918,             0.00062918
                      8,                 0.0015,                      1,                      1,                0.31335,             0.00061504,             0.00061504,             0.00061504
                      9,                0.00719,                      1,                      1,                0.31335,              0.0006009,              0.0006009,              0.0006009
                     10,                0.00394,                      1,                      1,                  0.314,             0.00058677,             0.00058677,             0.00058677
                     11,                0.00261,                      1,                      1,                0.31329,             0.00057263,             0.00057263,             0.00057263
                     12,                0.00194,                      1,                      1,                0.31329,             0.00055849,             0.00055849,             0.00055849
                     13,                0.00636,                0.99749,                      1,                0.31541,             0.00054435,             0.00054435,             0.00054435
                     14,                0.00544,                0.99749,                      1,                0.31646,             0.00053022,             0.00053022,             0.00053022
                     15,                0.00117,                      1,                      1,                0.31378,             0.00051608,             0.00051608,             0.00051608
                     16,                0.00147,                      1,                      1,                0.31333,             0.00050194,             0.00050194,             0.00050194
                     17,                0.01355,                0.99749,                      1,                0.31785,              0.0004878,              0.0004878,              0.0004878
                     18,                0.00348,                      1,                      1,                0.31359,             0.00047367,             0.00047367,             0.00047367
                     19,                0.00255,                      1,                      1,                0.31331,             0.00045953,             0.00045953,             0.00045953
                     20,                0.00197,                      1,                      1,                0.31338,             0.00044539,             0.00044539,             0.00044539
                     21,                 0.0017,                      1,                      1,                0.31351,             0.00043126,             0.00043126,             0.00043126
                     22,                0.00094,                      1,                      1,                0.31331,             0.00041712,             0.00041712,             0.00041712
                     23,                0.00067,                      1,                      1,                0.31325,             0.00040298,             0.00040298,             0.00040298
                     24,                0.00897,                      1,                      1,                 0.3138,             0.00038884,             0.00038884,             0.00038884
                     25,                0.01144,                      1,                      1,                0.31329,             0.00037471,             0.00037471,             0.00037471
                     26,                0.00216,                      1,                      1,                0.31331,             0.00036057,             0.00036057,             0.00036057
                     27,                0.00041,                      1,                      1,                0.31333,             0.00034643,             0.00034643,             0.00034643
                     28,                0.00029,                      1,                      1,                 0.3134,              0.0003323,              0.0003323,              0.0003323
                     29,                0.00058,                      1,                      1,                0.31331,             0.00031816,             0.00031816,             0.00031816
                     30,                0.00033,                      1,                      1,                0.31336,             0.00030402,             0.00030402,             0.00030402
                     31,                0.00038,                      1,                      1,                0.31342,             0.00028988,             0.00028988,             0.00028988
                     32,                0.00045,                      1,                      1,                0.31335,             0.00027575,             0.00027575,             0.00027575
                     33,                0.00306,                      1,                      1,                0.31325,             0.00026161,             0.00026161,             0.00026161
                     34,                0.00026,                      1,                      1,                0.31323,             0.00024747,             0.00024747,             0.00024747
                     35,                0.00063,                      1,                      1,                0.31323,             0.00023334,             0.00023334,             0.00023334
                     36,                0.00047,                      1,                      1,                0.31325,              0.0002192,              0.0002192,              0.0002192
                     37,                0.00069,                      1,                      1,                0.31329,             0.00020506,             0.00020506,             0.00020506
                     38,                0.00043,                      1,                      1,                0.31329,             0.00019092,             0.00019092,             0.00019092
                     39,                  9e-05,                      1,                      1,                0.31325,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.0001,                      1,                      1,                0.31325,             0.00016265,             0.00016265,             0.00016265
                     41,                  9e-05,                      1,                      1,                0.31329,             0.00014851,             0.00014851,             0.00014851
                     42,                0.00119,                      1,                      1,                0.31331,             0.00013437,             0.00013437,             0.00013437
                     43,                0.00087,                      1,                      1,                0.31335,             0.00012024,             0.00012024,             0.00012024
                     44,                0.00048,                      1,                      1,                0.31342,              0.0001061,              0.0001061,              0.0001061
                     45,                0.00103,                      1,                      1,                0.31344,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.00017,                      1,                      1,                0.31329,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                  8e-05,                      1,                      1,                0.31331,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00067,                      1,                      1,                0.31327,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.00096,                      1,                      1,                0.31327,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.00246,                      1,                      1,                0.31329,             2.1277e-05,             2.1277e-05,             2.1277e-05
